Rank,Channel_info,Influence_score,Posts,Followers,Avg_liKes,60_day_eng_rate,new_post_avg_liKe,total_liKes,country,COUNTRY2,Avg likes 2,Follower 2,Posts 2,New posts Avg Likes,Total Likes 2
1,cristiano,92,3.3K,475.8M,8.7M,1.39%,6.5M,29.0B,Spain,SPAIN,8700000,475800000,3300,6500000,29000000000
2,kyliejenner,91,6.9K,366.2M,8.3M,1.62%,5.9M,57.4B,USA,USA,8300000,366200000,6900,5900000,57400000000
3,leomessi,90,0.89K,357.3M,6.8M,1.24%,4.4M,6.0B,Argentina,ARGENTINA,6800000,357300000,890,4400000,6000000000
4,selenagomez,93,1.8K,342.7M,6.2M,0.97%,3.3M,11.5B,USA,USA,6200000,342700000,1800,3300000,11500000000
5,therock,91,6.8K,334.1M,1.9M,0.20%,665.3K,12.5B,USA,USA,1900000,334100000,6800,665300,12500000000
6,kimkardashian,91,5.6K,329.2M,3.5M,0.88%,2.9M,19.9B,USA,USA,3500000,329200000,5600,2900000,19900000000
7,arianagrande,92,5.0K,327.7M,3.7M,1.20%,3.9M,18.4B,USA,USA,3700000,327700000,5000,3900000,18400000000
8,beyonce,92,2.0K,272.8M,3.6M,0.76%,2.0M,7.4B,USA,USA,3600000,272800000,2000,2000000,7400000000
9,khloekardashian,89,4.1K,268.3M,2.4M,0.35%,926.9K,9.8B,USA,USA,2400000,268300000,4100,926900,9800000000
10,justinbieber,91,7.4K,254.5M,1.9M,0.59%,1.5M,13.9B,Canada,CANADA,1900000,254500000,7400,1500000,13900000000
11,kendalljenner,90,0.66K,254.0M,5.5M,2.04%,5.1M,3.7B,USA,USA,5500000,254000000,660,5100000,3700000000
12,natgeo,91,10.0K,237.0M,302.2K,0.07%,159.3K,3.0B,USA,USA,302200,237000000,10000,159300,3000000000
13,nike,90,0.95K,234.1M,329.0K,0.08%,181.8K,313.6M,USA,USA,329000,234100000,950,181800,313600000
14,taylorswift,91,0.53K,222.2M,2.4M,1.01%,2.3M,1.3B,USA,USA,2400000,222200000,530,2300000,1300000000
15,jlo,89,3.2K,220.4M,1.7M,0.62%,1.4M,5.3B,USA,USA,1700000,220400000,3200,1400000,5300000000
16,virat.kohli,87,1.4K,211.8M,3.5M,0.96%,2.0M,4.9B,India,INDIA,3500000,211800000,1400,2000000,4900000000
17,nickiminaj,90,6.4K,201.6M,2.1M,0.53%,1.0M,13.5B,USA,USA,2100000,201600000,6400,1000000,13500000000
18,kourtneykardash,89,4.4K,195.2M,1.8M,0.67%,1.3M,7.7B,USA,USA,1800000,195200000,4400,1300000,7700000000
19,mileycyrus,89,1.2K,181.5M,1.3M,0.51%,913.6K,1.6B,USA,USA,1300000,181500000,1200,913600,1600000000
20,neymarjr,90,5.3K,177.1M,2.7M,1.09%,1.9M,14.1B,Brazil,BRAZIL,2700000,177100000,5300,1900000,14100000000
21,katyperry,92,2.0K,170.3M,715.0K,0.16%,265.1K,1.5B,USA,USA,715000,170300000,2000,265100,1500000000
22,kevinhart4real,88,8.2K,152.0M,522.0K,0.08%,115.2K,4.3B,USA,USA,522000,152000000,8200,115200,4300000000
23,zendaya,87,3.5K,150.7M,5.8M,3.17%,4.8M,20.6B,USA,USA,5800000,150700000,3500,4800000,20600000000
24,iamcardib,75,1.6K,140.5M,3.1M,1.10%,1.5M,5.0B,USA,USA,3100000,140500000,1600,1500000,5000000000
25,ddlovato,88,0.08K,139.1M,1.1M,0.27%,363.4K,91.3M,USA,USA,1100000,139100000,80,363400,91300000
26,badgalriri,88,4.8K,135.3M,3.7M,0.02%,0,17.9B,USA,USA,3700000,135300000,4800,0,17900000000
27,kingjames,86,2.3K,130.9M,2.1M,0.92%,1.2M,4.9B,USA,USA,2100000,130900000,2300,1200000,4900000000
28,theellenshow,87,10.0K,125.1M,420.5K,0.07%,81.7K,4.2B,USA,USA,420500,125100000,10000,81700,4200000000
29,realmadrid,90,6.9K,123.4M,996.2K,0.48%,588.3K,6.8B,Spain,SPAIN,996200,123400000,6900,588300,6800000000
30,champagnepapi,85,5.2K,119.6M,1.7M,1.10%,1.3M,9.0B,Netherlands,NETHERLANDS,1700000,119600000,5200,1300000,9000000000
31,chrisbrownofficial,86,7.3K,118.5M,463.2K,0.22%,255.9K,3.4B,USA,USA,463200,118500000,7300,255900,3400000000
32,fcbarcelona,90,10.0K,111.4M,1.2M,0.64%,706.3K,11.6B,Spain,SPAIN,1200000,111400000,10000,706300,11600000000
33,billieeilish,73,0.69K,105.2M,8.5M,5.02%,5.2M,5.9B,USA,USA,8500000,105200000,690,5200000,5900000000
34,dualipa,74,1.3K,85.9M,2.1M,1.26%,1.1M,2.6B,UK,UK,2100000,85900000,1300,1100000,2600000000
35,gal_gadot,85,1.7K,85.6M,1.4M,0.69%,586.5K,2.3B,USA,USA,1400000,85600000,1700,586500,2300000000
36,vindiesel,88,1.8K,82.3M,1.4M,0.60%,482.3K,2.5B,USA,USA,1400000,82300000,1800,482300,2500000000
37,nasa,88,3.6K,81.3M,1.2M,1.53%,1.2M,4.2B,USA,USA,1200000,81300000,3600,1200000,4200000000
38,priyankachopra,85,3.6K,81.1M,1.6M,1.00%,802.9K,5.6B,USA,USA,1600000,81100000,3600,802900,5600000000
39,lalalalisa_m,70,0.87K,80.9M,5.8M,9.00%,7.2M,5.1B,Korea,KOREA,5800000,80900000,870,7200000,5100000000
40,Shakira,88,2.0K,76.1M,975.1K,0.41%,304.7K,1.9B,Colombia,COLOMBIA,975100,76100000,2000,304700,1900000000
41,snoopdogg,86,10.0K,75.3M,203.7K,0.17%,125.8K,2.0B,USA,USA,203700,75300000,10000,125800,2000000000
42,gigihadid,85,3.3K,75.3M,2.5M,2.56%,1.9M,8.2B,USA,USA,2500000,75300000,3300,1900000,8200000000
43,davidbeckham,86,1.5K,74.9M,1.2M,0.46%,340.9K,1.9B,USA,USA,1200000,74900000,1500,340900,1900000000
44,shraddhakapoor,81,1.9K,73.9M,1.6M,1.17%,859.9K,3.0B,India,INDIA,1600000,73900000,1900,859900,3000000000
45,victoriassecret,88,2.9K,73.2M,147.0K,0.04%,29.8K,423.5M,USA,USA,147000,73200000,2900,29800,423500000
46,k.mbappe,86,1.2K,72.7M,2.5M,2.16%,1.6M,2.8B,France,FRANCE,2500000,72700000,1200,1600000,2800000000
47,nehakakkar,84,2.3K,70.4M,1.5M,0.54%,370.1K,3.5B,India,INDIA,1500000,70400000,2300,370100,3500000000
48,nba,87,12.9K,70.1M,370.8K,0.28%,196.9K,4.8B,USA,USA,370800,70100000,12900,196900,4800000000
49,shawnmendes,83,2.5K,69.9M,3.5M,2.87%,2.0M,8.8B,Canada,CANADA,3500000,69900000,2500,2000000,8800000000
50,jennierubyjane,76,0.86K,68.9M,5.1M,8.36%,5.7M,4.4B,South Korea,SOUTH KOREA,5100000,68900000,860,5700000,4400000000
51,narendramodi,85,0.54K,68.9M,2.9M,3.01%,2.0M,1.6B,India,INDIA,2900000,68900000,540,2000000,1600000000
52,aliaabhatt,82,1.8K,68.7M,1.8M,3.14%,2.1M,3.3B,India,INDIA,1800000,68700000,1800,2100000,3300000000
53,deepikapadukone,83,0.26K,68.4M,1.6M,2.23%,1.5M,419.0M,India,INDIA,1600000,68400000,260,1500000,419000000
54,tomholland2013,77,1.2K,67.7M,5.4M,10.83%,7.3M,6.6B,England,ENGLAND,5400000,67700000,1200,7300000,6600000000
55,ronaldinho,78,2.9K,67.7M,872.9K,0.49%,325.7K,2.6B,Brazil,BRAZIL,872900,67700000,2900,325700,2600000000
56,emmawatson,87,0.34K,67.3M,1.9M,0.01%,0,639.0M,USA,USA,1900000,67300000,340,0,639000000
57,bts.bighitofficial,78,1.2K,66.9M,4.1M,5.40%,3.6M,4.9B,Uruguay,URUGUAY,4100000,66900000,1200,3600000,4900000000
58,katrinakaif,85,1.0K,66.3M,1.7M,2.25%,1.5M,1.7B,India,INDIA,1700000,66300000,1000,1500000,1700000000
59,marvel,82,7.0K,66.2M,332.3K,0.51%,339.0K,2.3B,Turkey,TURKEY,332300,66200000,7000,339000,2300000000
60,justintimberlake,87,0.78K,65.9M,600.4K,0.30%,189.4K,470.7M,USA,USA,600400,65900000,780,189400,470700000
61,camila_cabello,77,2.9K,65.0M,1.9M,2.19%,1.4M,5.4B,USA,USA,1900000,65000000,2900,1400000,5400000000
62,willsmith,82,1.4K,63.9M,1.4M,0.02%,0,1.9B,USA,USA,1400000,63900000,1400,0,1900000000
63,raffinagita1717,83,17.5K,63.5M,386.9K,0.58%,366.6K,6.8B,Indonesia,INDONESIA,386900,63500000,17500,366600,6800000000
64,anitta,82,5.1K,63.1M,855.5K,0.69%,426.2K,4.4B,USA,USA,855500,63100000,5100,426200,4400000000
65,sooyaaa__,82,0.83K,62.9M,4.5M,9.43%,5.9M,3.8B,South Korea,SOUTH KOREA,4500000,62900000,830,5900000,3800000000
66,maluma,84,8.2K,62.8M,1.2M,1.12%,696.3K,9.8B,Colombia,COLOMBIA,1200000,62800000,8200,696300,9800000000
67,akshaykumar,85,1.9K,62.8M,1.5M,1.01%,624.9K,2.9B,India,INDIA,1500000,62800000,1900,624900,2900000000
68,jacquelinef143,85,2.4K,62.7M,1.1M,1.15%,718.8K,2.8B,India,INDIA,1100000,62700000,2400,718800,2800000000
69,psg,86,10.0K,61.9M,500.5K,0.52%,322.2K,5.0B,France,FRANCE,500500,61900000,10000,322200,5000000000
70,roses_are_rosie,82,0.82K,61.8M,4.6M,9.72%,6.0M,3.8B,New Zealand,NEW ZEALAND,4600000,61800000,820,6000000,3800000000
71,manchesterunited,85,9.9K,59.6M,381.8K,0.41%,241.6K,3.8B,UK,UK,381800,59600000,9900,241600,3800000000
72,anushkasharma,85,1.2K,59.5M,1.9M,2.34%,1.4M,2.2B,India,INDIA,1900000,59500000,1200,1400000,2200000000
73,whinderssonnunes,79,2.7K,58.7M,1.6M,0.58%,323.1K,4.4B,Brazil,BRAZIL,1600000,58700000,2700,323100,4400000000
74,9gag,86,10.0K,58.1M,672.6K,0.44%,248.6K,6.7B,USA,USA,672600,58100000,10000,248600,6700000000
75,marcelotwelve,86,2.7K,58.1M,690.9K,0.78%,448.3K,1.9B,Brazil,BRAZIL,690900,58100000,2700,448300,1900000000
76,milliebobbybrown,80,0.28K,57.6M,4.0M,8.63%,5.0M,1.1B,USA,USA,4000000,57600000,280,5000000,1100000000
77,karimbenzema,42,2.0K,56.9M,878.5K,1.62%,918.9K,1.8B,Spain,SPAIN,878500,56900000,2000,918900,1800000000
78,chrishemsworth,86,0.88K,55.9M,2.8M,3.69%,2.1M,2.5B,Australia,AUSTRALIA,2800000,55900000,880,2100000,2500000000
79,karolg,83,3.3K,55.6M,3.1M,10.25%,5.7M,10.1B,India,INDIA,3100000,55600000,3300,5700000,10100000000
80,paulpogba,80,1.3K,55.2M,1.4M,0.85%,462.6K,1.8B,France,FRANCE,1400000,55200000,1300,462600,1800000000
81,iamzlatanibrahimovic,86,0.87K,55.1M,1.5M,1.53%,837.1K,1.3B,Sweden,SWEDEN,1500000,55100000,870,837100,1300000000
82,leonardodicaprio,86,1.7K,54.6M,395.5K,0.20%,107.6K,669.3M,USA,USA,395500,54600000,1700,107600,669300000
83,juventus,87,10.0K,54.5M,194.8K,0.25%,135.5K,1.9B,Italy,ITALY,194800,54500000,10000,135500,1900000000
84,zacefron,86,0.66K,54.5M,2.3M,8.18%,4.4M,1.5B,USA,USA,2300000,54500000,660,4400000,1500000000
85,bellahadid,79,3.2K,54.1M,1.1M,2.06%,1.1M,3.6B,UK,UK,1100000,54100000,3200,1100000,3600000000
86,tatawerneck,86,5.6K,53.9M,959.8K,0.51%,266.5K,5.4B,Brazil,BRAZIL,959800,53900000,5600,266500,5400000000
87,beingsalmankhan,76,1.2K,53.5M,1.4M,1.33%,693.9K,1.6B,India,INDIA,1400000,53500000,1200,693900,1600000000
88,robertdowneyjr,86,0.42K,53.4M,3.0M,2.05%,1.1M,1.3B,USA,USA,3000000,53400000,420,1100000,1300000000
89,sunnyleone,84,4.6K,53.4M,764.0K,0.57%,301.3K,3.5B,India,INDIA,764000,53400000,4600,301300,3500000000
90,ladygaga,83,3.6K,53.2M,1.4M,1.02%,531.6K,5.1B,USA,USA,1400000,53200000,3600,531600,5100000000
91,dishapatani,74,2.1K,53.0M,1.6M,1.85%,971.7K,3.4B,USA,USA,1600000,53000000,2100,971700,3400000000
92,sergioramos,87,2.2K,52.8M,1.1M,1.06%,557.9K,2.5B,Spanish,SPANISH,1100000,52800000,2200,557900,2500000000
93,jbalvin,87,10.0K,52.8M,878.0K,0.66%,340.5K,8.8B,Colombia,COLOMBIA,878000,52800000,10000,340500,8800000000
94,mosalah,22,0.84K,52.5M,1.8M,2.18%,1.1M,1.5B,Egypt,EGYPT,1800000,52500000,840,1100000,1500000000
95,ayutingting92,85,10.0K,52.4M,147.3K,0.11%,56.3K,1.5B,Indonesia,INDONESIA,147300,52400000,10000,56300,1500000000
96,433,79,10.3K,51.2M,863.2K,1.52%,774.2K,8.9B,Netherlands,NETHERLANDS,863200,51200000,10300,774200,8900000000
97,hudabeauty,82,2.4K,50.8M,186.4K,0.04%,16.8K,453.6M,USA,USA,186400,50800000,2400,16800,453600000
98,adele,84,0.42K,50.7M,4.7M,3.82%,1.9M,2.0B,USA,USA,4700000,50700000,420,1900000,2000000000
99,michelleobama,85,0.60K,50.7M,700.5K,1.22%,611.2K,421.7M,USA,USA,700500,50700000,600,611200,421700000
100,kritisanon,76,2.7K,50.2M,897.2K,1.21%,604.4K,2.4B,India,INDIA,897200,50200000,2700,604400,2400000000
101,jamesrodriguez10,86,1.1K,49.9M,1.4M,0.75%,363.9K,1.5B,Colombia,COLOMBIA,1400000,49900000,1100,363900,1500000000
102,krisjenner,80,6.4K,49.7M,356.8K,0.91%,452.9K,2.3B,USA,USA,356800,49700000,6400,452900,2300000000
103,thv,83,0.06K,49.3M,15.4M,25.80%,12.6M,987.4M,South Korea,SOUTH KOREA,15400000,49300000,60,12600000,987400000
104,lelepons,81,2.5K,49.2M,2.4M,3.55%,1.7M,6.1B,USA,USA,2400000,49200000,2500,1700000,6100000000
105,charlidamelio,80,0.15K,49.1M,4.2M,3.28%,1.6M,654.4M,USA,USA,4200000,49100000,150,1600000,654400000
106,gucci,86,8.9K,49.0M,115.1K,0.15%,72.4K,1.0B,Italy,ITALY,115100,49000000,8900,72400,1000000000
107,prillylatuconsina96,84,6.5K,48.9M,372.4K,0.27%,131.8K,2.4B,Indonesia,INDONESIA,372400,48900000,6500,131800,2400000000
108,louisvuitton,82,6.5K,48.7M,127.5K,0.08%,40.5K,824.0M,France,FRANCE,127500,48700000,6500,40500,824000000
109,paulodybala,85,1.3K,48.3M,1.8M,2.88%,1.4M,2.3B,Argentina,ARGENTINA,1800000,48300000,1300,1400000,2300000000
110,blackpinkofficial,85,1.4K,48.2M,2.1M,2.77%,1.3M,3.0B,South Korea,SOUTH KOREA,2100000,48200000,1400,1300000,3000000000
111,dovecameron,85,0.17K,48.2M,1.6M,1.75%,841.4K,283.0M,USA,USA,1600000,48200000,170,841400,283000000
112,garethbale11,86,0.98K,48.1M,763.0K,1.43%,681.3K,753.1M,Welsh,WELSH,763000,48100000,980,681300,753100000
113,jokowi,85,3.5K,47.7M,452.6K,0.41%,189.6K,1.6B,Indonesia,INDONESIA,452600,47700000,3500,189600,1600000000
114,nusr_et,81,2.3K,47.3M,728.2K,0.29%,133.0K,1.7B,UAE,UAE,728200,47300000,2300,133000,1700000000
115,harrystyles,57,0.59K,46.9M,4.7M,6.38%,2.9M,2.8B,USA,USA,4700000,46900000,590,2900000,2800000000
116,haileybieber,85,2.1K,46.9M,2.0M,3.47%,1.6M,4.2B,USA,USA,2000000,46900000,2100,1600000,4200000000
117,vanessahudgens,84,4.2K,46.8M,633.9K,0.63%,292.9K,2.7B,USA,USA,633900,46800000,4200,292900,2700000000
118,5-Minute Crafts GIRLY,85,10.0K,46.5M,157.0K,0.03%,12.4K,1.6B,USA,USA,157000,46500000,10000,12400,1600000000
119,zayn,82,0.16K,46.5M,4.7M,8.81%,4.0M,773.5M,USA,USA,4700000,46500000,160,4000000,773500000
120,larissamanoela,85,5.2K,46.5M,579.6K,0.57%,259.4K,3.0B,Brazil,BRAZIL,579600,46500000,5200,259400,3000000000
121,travisscott,78,3.2K,46.2M,3.0M,5.71%,2.6M,9.6B,USA,USA,3000000,46200000,3200,2600000,9600000000
122,thenotoriousmma,82,3.2K,45.9M,1.1M,0.69%,311.5K,3.5B,USA,USA,1100000,45900000,3200,311500,3500000000
123,daddyyankee,80,0.02K,45.9M,652.5K,1.00%,455.3K,18.3M,Puerto Rico,PUERTO RICO,652500,45900000,20,455300,18300000
124,natgeotravel,82,16.9K,45.8M,189.9K,0.12%,52.8K,3.2B,USA,USA,189900,45800000,16900,52800,3200000000
125,nikefootball,85,1.8K,45.4M,431.2K,0.44%,199.8K,784.0M,USA,USA,431200,45400000,1800,199800,784000000
126,stephencurry30,84,1.1K,45.4M,1.1M,2.76%,1.2M,1.2B,USA,USA,1100000,45400000,1100,1200000,1200000000
127,vancityreynolds,86,0.68K,44.8M,1.4M,2.61%,1.2M,925.7M,USA,USA,1400000,44800000,680,1200000,925700000
128,maisa,42,1.5K,44.5M,553.0K,0.67%,294.1K,820.1M,Brazil,BRAZIL,553000,44500000,1500,294100,820100000
129,luissuarez9,85,0.97K,44.2M,801.8K,0.96%,414.8K,782.5M,Brazil,BRAZIL,801800,44200000,970,414800,782500000
130,gusttavolima,76,4.9K,43.9M,475.1K,0.71%,303.9K,2.3B,Brazil,BRAZIL,475100,43900000,4900,303900,2300000000
131,jannatzubair29,84,1.6K,43.8M,1.3M,2.18%,944.3K,2.2B,India,INDIA,1300000,43800000,1600,944300,2200000000
132,varundvn,84,1.9K,43.8M,1.1M,1.48%,640.5K,2.0B,India,INDIA,1100000,43800000,1900,640500,2000000000
133,hrithikroshan,85,0.58K,43.7M,1.6M,3.82%,1.6M,949.9M,India,INDIA,1600000,43700000,580,1600000,949900000
134,nickyjampr,81,10.0K,43.4M,381.6K,0.33%,139.3K,3.8B,Colombia,COLOMBIA,381600,43400000,10000,139300,3800000000
135,buzzfeedtasty,85,8.9K,43.2M,65.1K,0.02%,7.7K,580.7M,Spain,SPAIN,65100,43200000,8900,7700,580700000
136,brunamarquezine,84,3.0K,43.1M,969.7K,1.05%,444.2K,2.9B,USA,USA,969700,43100000,3000,444200,2900000000
137,caradelevingne,86,4.4K,42.9M,790.2K,0.43%,181.0K,3.5B,USA,USA,790200,42900000,4400,181000,3500000000
138,kapilsharma,83,0.95K,42.2M,736.4K,1.49%,624.5K,710.7M,India,INDIA,736400,42200000,950,624500,710700000
139,badbunnypr,83,0.01K,42.1M,3.7M,13.09%,5.4M,67.5M,USA,USA,3700000,42100000,10,5400000,67500000
140,britneyspears,80,3.0K,42.1M,513.1K,0.55%,221.7K,1.6B,Turkey,TURKEY,513100,42100000,3000,221700,1600000000
141,j.m,83,0.02K,41.9M,14.2M,26.41%,11.0M,368.1M,Other,OTHER,14200000,41900000,20,11000000,368100000
142,mariliamendoncacantora,73,1.4K,41.8M,1.0M,1.98%,818.6K,1.5B,Brazil,BRAZIL,1000000,41800000,1400,818600,1500000000
143,norafatehi,83,1.7K,41.6M,1.4M,1.76%,727.5K,2.3B,Anguilla,ANGUILLA,1400000,41600000,1700,727500,2300000000
144,theweeknd,83,0.67K,41.5M,1.1M,3.97%,1.6M,767.0M,Canada,CANADA,1100000,41500000,670,1600000,767000000
145,dior,85,9.7K,41.5M,88.8K,0.16%,63.6K,863.0M,France,FRANCE,88800,41500000,9700,63600,863000000
146,ranveersingh,85,1.8K,40.8M,1.0M,0.76%,299.3K,1.8B,Switzerland,SWITZERLAND,1000000,40800000,1800,299300,1800000000
147,marinaruybarbosa,81,2.1K,40.7M,586.4K,0.01%,0,1.2B,Brazil,BRAZIL,586400,40700000,2100,0,1200000000
148,jenniferaniston,85,0.09K,40.7M,4.6M,1.88%,731.0K,452.0M,USA,USA,4600000,40700000,90,731000,452000000
149,addisonraee,85,0.30K,40.1M,3.1M,2.49%,994.4K,957.9M,USA,USA,3100000,40100000,300,994400,957900000
150,andresiniesta8,85,2.0K,40.0M,250.8K,0.41%,161.7K,500.5M,Spain,SPAIN,250800,40000000,2000,161700,500500000
151,princessyahrini,81,4.5K,40.0M,118.3K,0.22%,87.4K,529.9M,Indonesia,INDONESIA,118300,40000000,4500,87400,529900000
152,liverpoolfc,75,10.0K,39.9M,346.7K,0.42%,162.9K,3.5B,UK,UK,346700,39900000,10000,162900,3500000000
153,teddysphotos,80,2.3K,39.9M,715.5K,0.46%,181.1K,1.7B,USA,USA,715500,39900000,2300,181100,1700000000
154,worldstar,78,11.6K,39.2M,157.4K,0.23%,84.4K,1.8B,USA,USA,157400,39200000,11600,84400,1800000000
155,natashawilona12,84,1.2K,39.2M,486.5K,0.59%,227.7K,563.9M,Indonesia,INDONESIA,486500,39200000,1200,227700,563900000
156,mahi7781,58,0.10K,39.1M,4.1M,0.17%,0,439.4M,India,INDIA,4100000,39100000,100,0,439400000
157,georginagio,74,0.73K,39.1M,2.2M,8.56%,3.3M,1.6B,Argentina,ARGENTINA,2200000,39100000,730,3300000,1600000000
158,cznburak,80,1.8K,39.0M,815.8K,1.01%,383.3K,1.4B,Turkey,TURKEY,815800,39000000,1800,383300,1400000000
159,chrissyteigen,79,5.1K,38.9M,623.1K,0.43%,162.1K,3.2B,USA,USA,623100,38900000,5100,162100,3200000000
160,ruben_onsu,75,13.4K,38.8M,139.3K,0.13%,49.1K,1.9B,Indonesia,INDONESIA,139300,38800000,13400,49100,1900000000
161,wizkhalifa,80,0.50K,38.7M,398.7K,0.31%,115.7K,199.8M,USA,USA,398700,38700000,500,115700,199800000
162,hm,83,7.3K,38.5M,88.4K,0.06%,22.4K,644.1M,Sweden,SWEDEN,88400,38500000,7300,22400,644100000
163,anushkasen0408,85,5.3K,38.3M,695.4K,1.75%,658.3K,3.7B,India,INDIA,695400,38300000,5300,658300,3700000000
164,prattprattpratt,84,0.73K,38.3M,813.5K,1.00%,363.8K,594.7M,USA,USA,813500,38300000,730,363800,594700000
165,marvelstudios,83,2.7K,38.1M,594.2K,1.58%,555.9K,1.6B,USA,USA,594200,38100000,2700,555900,1600000000
166,wesleysafadao,80,8.9K,37.4M,256.1K,0.02%,0,2.3B,Brazil,BRAZIL,256100,37400000,8900,0,2300000000
167,parineetichopra,84,1.3K,37.4M,505.7K,0.68%,246.9K,672.1M,India,INDIA,505700,37400000,1300,246900,672100000
168,rkive,83,0.11K,37.0M,10.9M,0%,0,1.2B,India,INDIA,10900000,37000000,110,0,1200000000
169,laudyacynthiabella,76,0.38K,36.9M,172.8K,0.12%,43.4K,66.7M,Indonesia,INDONESIA,172800,36900000,380,43400,66700000
170,antogriezmann,83,0.87K,36.5M,1.1M,0.57%,203.6K,955.4M,France,FRANCE,1100000,36500000,870,203600,955400000
171,gisel_la,85,9.9K,36.5M,150.5K,0.10%,33.4K,1.5B,Brazil,BRAZIL,150500,36500000,9900,33400,1500000000
172,eminem,84,0.66K,36.4M,1.1M,2.69%,962.7K,730.1M,USA,USA,1100000,36400000,660,962700,730100000
173,mercedesbenz,77,10.0K,36.0M,197.9K,0.18%,64.6K,2.0B,British Virgin Islands,BRITISH VIRGIN ISLANDS,197900,36000000,10000,64600,2000000000
174,colesprouse,81,1.2K,35.9M,2.2M,2.34%,834.5K,2.6B,Italy,ITALY,2200000,35900000,1200,834500,2600000000
175,nattinatasha,47,0.03K,35.9M,518.1K,0.80%,285.9K,18.7M,Czech Republic,CZECH REPUBLIC,518100,35900000,30,285900,18700000
176,shahidkapoor,82,1.1K,35.6M,1.3M,2.54%,780.0K,1.5B,India,INDIA,1300000,35600000,1100,780000,1500000000
177,tigerjackieshroff,83,2.1K,35.6M,1.1M,1.20%,422.9K,2.2B,India,INDIA,1100000,35600000,2100,422900,2200000000
178,kimberly.loaiza,78,0.59K,35.5M,2.6M,5.23%,1.8M,1.6B,Mexico,MEXICO,2600000,35500000,590,1800000,1600000000
179,barackobama,81,0.66K,35.4M,1.1M,1.19%,411.5K,739.5M,USA,USA,1100000,35400000,660,411500,739500000
180,sachintendulkar,76,1.0K,35.3M,800.4K,2.03%,664.5K,810.0M,India,INDIA,800400,35300000,1000,664500,810000000
181,simonemendes,72,4.4K,35.0M,420.0K,0.65%,222.9K,1.9B,Brazil,BRAZIL,420000,35000000,4400,222900,1900000000
182,ivetesangalo,84,7.6K,34.8M,226.4K,0.36%,121.1K,1.7B,Brazil,BRAZIL,226400,34800000,7600,121100,1700000000
183,lunamaya,83,4.1K,34.8M,145.4K,0.17%,58.6K,589.6M,Indonesia,INDONESIA,145400,34800000,4100,58600,589600000
184,toni.kr8s,83,0.94K,34.7M,597.2K,1.68%,533.5K,561.3M,Germany,GERMANY,597200,34700000,940,533500,561300000
185,dannapaola,68,1.9K,34.7M,1.5M,3.49%,1.2M,2.8B,Mexico,MEXICO,1500000,34700000,1900,1200000,2800000000
186,paollaoliveirareal,84,4.6K,34.7M,367.8K,0.57%,192.3K,1.7B,Brazil,BRAZIL,367800,34700000,4600,192300,1700000000
187,blakelively,80,0.11K,34.6M,3.1M,0.02%,0,350.9M,USA,USA,3100000,34600000,110,0,350900000
188,adidasoriginals,83,0.15K,34.2M,136.2K,0.20%,66.8K,21.2M,Germany,GERMANY,136200,34200000,150,66800,21200000
189,disney,77,7.3K,34.2M,185.2K,0.44%,132.0K,1.4B,USA,USA,185200,34200000,7300,132000,1400000000
190,shaymitchell,83,6.3K,34.1M,732.4K,0.73%,247.5K,4.6B,USA,USA,732400,34100000,6300,247500,4600000000
191,bmw,79,9.3K,33.7M,231.3K,0.23%,76.5K,2.2B,Germany,GERMANY,231300,33700000,9300,76500,2200000000
192,danbilzerian,84,1.4K,33.6M,2.0M,3.58%,1.2M,2.8B,Canada,CANADA,2000000,33600000,1400,1200000,2800000000
193,khabib_nurmagomedov,63,4.5K,33.5M,685.1K,0.67%,220.7K,3.1B,Russia,RUSSIA,685100,33500000,4500,220700,3100000000
194,zidane,41,0.37K,33.5M,1.1M,1.61%,532.7K,391.9M,France,FRANCE,1100000,33500000,370,532700,391900000
195,sonamkapoor,75,4.8K,33.3M,264.7K,0.63%,209.2K,1.3B,India,INDIA,264700,33300000,4800,209200,1300000000
196,iambeckyg,71,2.3K,33.2M,623.8K,1.40%,464.7K,1.4B,USA,USA,623800,33200000,2300,464700,1400000000
197,nancyajram,81,3.8K,33.2M,390.4K,0.64%,208.0K,1.5B,France,FRANCE,390400,33200000,3800,208000,1500000000
198,luansantana,79,0.77K,33.2M,193.3K,0.26%,82.6K,149.2M,Brazil,BRAZIL,193300,33200000,770,82600,149200000
199,nickjonas,78,2.3K,33.0M,719.6K,1.42%,467.7K,1.7B,USA,USA,719600,33000000,2300,467700,1700000000
200,raisa6690,80,4.2K,32.8M,232.2K,0.30%,97.4K,969.1M,Indonesia,INDONESIA,232200,32800000,4200,97400,969100000
